Cited Journal Data: J MOL CELL BIOL,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1,,ALL Journals,1877,31,242,228,319,305,230,305,141,71,0,5
2,,ALL OTHERS (499),499,1,74,54,79,79,66,72,48,24,0,2
3,4.122,SCI REP-UK,91,0,11,12,15,12,11,20,5,5,0,0
4,,ONCOTARGET,80,6,8,7,16,17,4,19,1,2,0,0
5,5.595,J MOL CELL BIOL,36,3,5,20,4,0,3,1,0,0,0,0
6,2.766,PLOS ONE,34,0,3,4,2,9,5,9,1,1,0,0
7,3.687,INT J MOL SCI,30,1,4,1,7,5,2,8,1,1,0,0
8,4.011,J BIOL CHEM,27,0,3,2,7,4,2,8,1,0,0,0
9,5.511,FRONT IMMUNOL,23,0,1,1,1,1,14,3,2,0,0,0
10,12.353,NAT COMMUN,23,0,1,2,2,5,5,5,2,1,0,0
11,9.504,P NATL ACAD SCI USA,16,1,3,1,1,2,3,3,1,1,0,0
12,5.108,BBA-MOL BASIS DIS,15,0,1,2,0,5,2,2,3,0,0,0
13,4.539,J IMMUNOL,15,0,0,3,4,1,5,0,2,0,0,0
14,2.559,BIOCHEM BIOPH RES CO,14,1,2,2,2,1,2,3,1,0,0,0
15,11.561,NUCLEIC ACIDS RES,14,1,1,6,0,1,1,1,1,2,0,0
16,7.616,ELIFE,13,0,0,3,4,1,2,1,2,0,0,0
17,1.664,ONCOL LETT,13,0,0,1,1,3,0,6,2,0,0,0
18,6.138,SEMIN CELL DEV BIOL,13,0,1,2,1,0,7,2,0,0,0,0
19,8.032,CELL REP,12,1,4,1,2,2,2,0,0,0,0,0
20,5.500,CELL PHYSIOL BIOCHEM,10,0,2,2,3,2,0,1,0,0,0,0
21,1.922,MOL MED REP,10,0,1,0,3,0,1,4,1,0,0,0
22,8.000,CELL DEATH DIFFER,9,0,2,2,0,3,1,1,0,0,0,0
23,5.638,CELL DEATH DIS,9,0,1,1,2,1,1,0,2,1,0,0
