Citing Journal Data: J MOL CELL BIOL,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1, ,ALL Journals,2808,40,170,204,207,200,223,189,163,191,132,1089
2, ,ALL OTHERS (324),324,8,28,28,31,28,26,30,11,18,17,99
3,4.011,J BIOL CHEM,149,0,2,7,6,6,5,11,13,9,7,83
4,41.577,NATURE,142,0,2,3,6,4,11,5,4,10,7,90
5,9.504,P NATL ACAD SCI USA,120,1,3,1,5,9,5,13,7,9,4,63
6,31.398,CELL,93,0,2,3,8,3,11,1,2,5,4,54
7,6.854,ONCOGENE,77,1,8,11,2,7,5,4,2,6,2,29
8,3.813,MOL CELL BIOL,69,0,0,0,3,2,5,2,2,3,4,48
9,41.058,SCIENCE,56,0,2,0,2,2,1,1,3,6,3,36
10,11.561,NUCLEIC ACIDS RES,54,4,5,10,4,3,4,7,3,0,3,11
11,14.248,MOL CELL,52,0,5,5,4,1,4,6,3,3,4,17
12,10.557,EMBO J,51,0,0,2,0,1,0,2,1,3,1,41
13,27.125,NAT GENET,50,1,2,2,1,4,7,3,4,3,2,21
14,9.462,GENE DEV,45,0,2,1,2,4,0,3,1,2,0,30
15,22.844,CANCER CELL,41,1,1,1,2,2,4,4,4,7,0,15
16,9.130,CANCER RES,41,1,2,0,1,1,3,1,2,3,0,27
17,15.132,BLOOD,36,1,0,3,2,3,1,5,2,1,1,17
18,5.595,J MOL CELL BIOL,36,3,5,20,4,0,3,1,0,0,0,0
19,2.766,PLOS ONE,33,1,1,7,4,3,6,3,3,3,1,1
20,5.971,J NEUROSCI,32,0,0,3,3,5,3,1,4,2,1,10
21,13.251,J CLIN INVEST,27,0,3,2,1,2,2,2,1,2,2,10
22,2.559,BIOCHEM BIOPH RES CO,26,0,1,2,1,1,0,0,2,5,0,14
23,2.999,FEBS LETT,21,0,1,0,1,1,1,0,0,1,2,14
24,42.784,NAT REV CANCER,21,0,0,1,1,6,1,0,3,4,1,4
25,8.000,CELL DEATH DIFFER,20,0,0,0,4,1,1,1,3,0,5,5
26,3.304,CELL CYCLE,18,0,0,1,2,2,0,1,7,1,2,2
27,12.353,NAT COMMUN,18,0,3,5,4,6,0,0,0,0,0,0
28,6.086,ARTERIOSCL THROM VAS,17,0,0,3,0,3,2,2,2,2,1,2
29,8.784,J CELL BIOL,17,0,1,0,3,0,1,1,1,0,1,9
30,19.064,NAT CELL BIOL,17,0,0,0,1,2,0,3,0,0,4,7
31,14.319,NEURON,17,0,1,1,0,1,3,0,2,0,0,9
